cui,Name,D1y TO,D1y BS,D1y Tdebt,GMtoTO,ROA,DRN dys,FA%,CRLiq%,TDtoEBITDA,DEF
500,company_500,-1.719252365,-0.77197312,-0.291153301,0.560377704,-1.132619955,1.570449807,1.040733032,0.135701611,-0.8525281,0
501,company_501,0.428536375,-0.375808931,-0.282021222,1.311460703,0.41733343,1.414622234,-0.0477979,-0.067227308,-0.805824669,0
502,company_502,0.154350579,-0.419827175,-0.285299404,-0.148978463,-0.178802488,0.928351794,-0.358164157,-0.421807409,-0.151976626,0
503,company_503,0.976907968,0.328482959,-0.275464857,-0.023797963,0.059651879,0.025436001,0.532452059,-0.096684732,-0.058569763,0
504,company_504,-1.353671303,-0.199735959,-0.264810764,-0.190705296,0.059651879,0.836623507,-0.376156404,-0.505815617,0.548574848,0
505,company_505,-0.988090241,-0.77197312,-0.291153301,-1.066968796,-0.178802488,-0.277377863,-0.124264949,0.84813486,-0.8525281,0
506,company_506,0.657024539,0.152409986,-0.253688359,-1.233876129,-0.178802488,-0.60561041,0.784343515,-0.782933604,0.641981712,0
507,company_507,0.108652946,-0.815991363,-0.280265052,0.476924037,0.059651879,-0.196701177,1.436562461,-0.545092182,-0.292086921,0
508,company_508,0.474234008,-0.287772445,-0.28038213,0.39347037,-0.774938405,-0.004403321,0.091642013,-0.537455072,0.128243964,0
509,company_509,-0.896694975,-0.287772445,-0.279445507,-0.649700463,-0.417256855,1.093020648,0.00617884,-0.370529671,1.996381229,1
510,company_510,1.022605601,0.90072012,-0.274176999,-1.025241962,-0.655711222,0.394559471,-0.281697109,0.036419183,0.408464553,0
511,company_511,-0.668206811,-0.463845418,-0.291153301,0.810738704,0.059651879,0.222154497,1.634477176,2.880260693,-0.8525281,0
512,company_512,1.388186663,-0.331790688,-0.283192001,-0.733154129,-1.013392772,1.083074207,0.267066419,1.191804804,-0.385493784,0
513,company_513,-0.439718648,-0.463845418,-0.28038213,1.687002203,-0.059575304,-1.705023667,0.986756291,-0.585459763,-0.432197216,0
514,company_514,0.200048211,-0.63991839,-0.291153301,-0.148978463,1.013469347,-0.36468551,0.61341717,-0.249426929,-0.8525281,0
515,company_515,0.154350579,-0.023662986,-0.277689338,-0.065524796,-0.178802488,-0.23869726,1.454554708,-0.899672283,0.361761122,0
516,company_516,0.428536375,-0.463845418,-0.278625961,0.26828987,-0.774938405,-0.917265555,1.715442287,-0.909491424,0.128243964,0
517,company_517,-0.165532851,-1.080100822,-0.287055573,0.685558204,-0.298029671,-0.646501333,0.671891972,0.21970982,-0.712417805,0
518,company_518,-0.165532851,-0.948046092,-0.281787066,-0.607973629,-0.536484038,-0.939368757,-0.511098255,-0.818937122,-0.292086921,1
519,company_519,-0.942392608,-0.63991839,-0.277923494,-0.941788296,-1.013392772,0.489603239,0.487471442,-0.295249588,1.109016028,1
520,company_520,-0.576811546,-1.036082579,-0.279094273,-1.233876129,-0.774938405,0.25862478,-0.83945676,-0.453446864,1.295829754,0
521,company_521,0.519931641,-0.067681229,-0.275581935,0.51865087,-0.774938405,-1.049884766,1.856681424,-1.09823714,2.04308466,0
522,company_522,0.976907968,-0.199735959,-0.287523885,-0.190705296,1.13269653,0.429924594,0.240078049,2.689769353,-0.8525281,0
523,company_523,1.296791398,0.108391743,-0.281669988,-0.190705296,0.059651879,1.00129236,0.590926861,2.713771698,-0.525604079,0
524,company_524,0.382838742,-0.111699473,-0.285182326,-0.983515129,0.41733343,-0.342582309,-0.250210677,0.098607078,-0.572307511,0
525,company_525,-1.490764201,-0.463845418,-0.283543235,0.26828987,-0.894165588,-1.695298258,1.099207834,-0.83202931,2.846383684,1
526,company_526,-0.394021015,-1.344210281,-0.280030897,1.186280203,-1.132619955,0.686321735,1.856681424,-0.650920705,1.062312596,0
527,company_527,-0.531113913,-0.507863661,-0.279094273,1.39491437,-0.655711222,1.98709516,1.373589598,0.073513717,-0.105273194,0
528,company_528,-0.348323382,-0.419827175,-0.277923494,0.89419237,-1.013392772,2.4788914,1.611986868,0.629931721,-0.385493784,0
529,company_529,2.439232217,-0.463845418,3.74803584,0.935919204,-1.013392772,-0.507251162,-0.331175787,2.880260693,-0.8525281,0
